45.198.0.164,40226,ID,ORG-CIL1-AFRINIC
45.198.0.164,40239,ID,ORG-CIL1-AFRINIC
45.198.0.164,40243,ID,ORG-CIL1-AFRINIC
45.198.0.164,40246,ID,ORG-CIL1-AFRINIC
45.198.0.164,40251,ID,ORG-CIL1-AFRINIC
45.198.0.164,40270,ID,ORG-CIL1-AFRINIC
45.198.0.164,40301,ID,ORG-CIL1-AFRINIC
45.198.0.164,40325,ID,ORG-CIL1-AFRINIC
45.198.0.164,40330,ID,ORG-CIL1-AFRINIC
45.198.0.164,40340,ID,ORG-CIL1-AFRINIC
45.198.0.164,40342,ID,ORG-CIL1-AFRINIC
45.198.0.164,40346,ID,ORG-CIL1-AFRINIC
45.198.0.164,40347,ID,ORG-CIL1-AFRINIC
45.198.0.164,50112,ID,ORG-CIL1-AFRINIC
45.198.0.164,50176,ID,ORG-CIL1-AFRINIC
45.198.0.164,50183,ID,ORG-CIL1-AFRINIC
45.198.0.164,50225,ID,ORG-CIL1-AFRINIC
45.198.0.164,50234,ID,ORG-CIL1-AFRINIC
45.198.0.164,50250,ID,ORG-CIL1-AFRINIC
45.198.0.164,50276,ID,ORG-CIL1-AFRINIC
45.198.0.164,50280,ID,ORG-CIL1-AFRINIC
45.198.0.164,50314,ID,ORG-CIL1-AFRINIC
45.198.0.164,50320,ID,ORG-CIL1-AFRINIC
45.198.0.164,50331,ID,ORG-CIL1-AFRINIC
45.198.0.216,10110,ID,ORG-CIL1-AFRINIC
45.198.0.216,10151,ID,ORG-CIL1-AFRINIC
45.198.0.216,10152,ID,ORG-CIL1-AFRINIC
45.198.0.216,10166,ID,ORG-CIL1-AFRINIC
45.198.0.216,10185,ID,ORG-CIL1-AFRINIC
45.198.0.216,10193,ID,ORG-CIL1-AFRINIC
45.198.0.216,10213,ID,ORG-CIL1-AFRINIC
45.198.0.216,10217,ID,ORG-CIL1-AFRINIC
45.198.0.216,10219,ID,ORG-CIL1-AFRINIC
